Series Name,GDP (current US$),"Inflation, consumer prices (annual %)","Inflation, GDP deflator (annual %)","Unemployment, total (% of total labor force) (national estimate)",Real interest rate (%),Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),"Official exchange rate (LCU per US$, period average)","Foreign direct investment, net inflows (% of GDP)",GDP growth (annual %),GDP per capita (current US$),"	Consumer price index (2010 = 100)"
1986 [YR1986],26336616250,..,398.0730856,..,..,6.622539299,16.59615503,22.93672826,0.00015188,2.789291575,430.188501,..
1987 [YR1987],36658108850,..,362.5563212,..,..,6.001428373,14.7971782,78.95331572,0.028271245,3.583469631,585.3049372,..
1988 [YR1988],25423812649,..,411.0402533,..,..,3.945298226,15.00518886,611.646087,0.0302079,5.135011672,397.0143602,..
1989 [YR1989],6293304975,..,69.68872535,..,..,23.84935779,34.05510436,4501.686529,0.064671902,7.364512894,96.13036189,..
1990 [YR1990],6471740806,..,42.09509813,..,..,36.03861364,45.2770843,6537.604686,2.78132276,5.100918139,96.71929574,..
1991 [YR1991],9613369520,..,72.5463846,..,..,30.91503934,36.03191306,10121.89323,3.9027968,5.960843932,140.6310045,..
1992 [YR1992],9866990236,..,32.62918446,..,..,34.74559582,38.83128931,11202.19167,4.803347775,8.646047459,141.3836852,..
1993 [YR1993],13180953598,..,17.41497463,..,12.57720782,28.72278267,37.48948448,10640.95833,7.027592564,8.072730657,185.187122,..
1994 [YR1994],16286433533,..,16.95231603,..,..,34.01312864,43.4600693,10965.66667,11.93948283,8.838980952,224.6370945,..
1995 [YR1995],20736164459,..,17.04019542,..,..,32.81285533,41.90841059,11038.25,8.585965855,9.540480175,281.1336045,40.16572038
1996 [YR1996],24657470575,5.675,8.696767117,1.93,10.49086664,40.86848742,51.83725938,11032.58333,9.713080637,9.340017499,329.00119,42.44512501
1997 [YR1997],26843700442,3.209526063,6.597404782,2.87,7.335321062,43.10270675,51.24177732,11683.33333,8.270096758,8.152084143,352.9344398,43.80741236
1998 [YR1998],27209602050,7.266198044,8.837864128,2.29,5.110478707,44.84830338,52.15294514,13268,6.141214403,5.764455458,352.783068,46.9905457
1999 [YR1999],28683659007,4.117102358,5.734702829,2.33,6.587522341,49.96624597,52.82116063,13943.16667,4.922663457,4.773586883,367.1568837,48.92519457
