Country Name,GDP (current US$),"Inflation, consumer prices (annual %)","Inflation, GDP deflator (annual %)","Unemployment, total (% of total labor force) (national estimate)",Real interest rate (%),Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),"Official exchange rate (LCU per US$, period average)","Foreign direct investment, net inflows (% of GDP)",GDP growth (annual %),GDP per capita (current US$),,Consumer price index (2010 = 100)
Afghanistan,..,..,..,..,..,..,..,..,..,..,..,,
Albania,18916378861,6.725202715,9.866013431,..,-3.057676036,37.39542221,47.75425831,113.0416667,7.619755885,4.856401652,6810.114041,,
Algeria,1.95E+11,9.265515516,21.51758493,..,-11.12397431,35.3352258,23.70705845,141.994975,0.038790102,3.200001647,4342.637968,,
American Samoa,871000000,..,14.15276486,..,..,46.95752009,77.72675086,..,..,1.735015773,19673.3901,,
Andorra,3352031094,..,4.213076377,..,..,..,..,0.950915534,..,8.809579348,41992.77278,,
Angola,1.07E+11,..,16.30538324,..,3.27743053,43.42292566,24.7471748,460.5675116,-6.179510616,3.04540301,3000.444231,,
Antigua and Barbuda,1867733333,7.531078346,6.498856196,..,0.766250065,54.68958214,62.94042293,2.7,16.1547093,9.516395644,19919.72669,,
Argentina,6.31E+11,..,69.47123955,6.805,-10.07372869,16.29956168,15.3509523,130.61655,2.441377239,4.95636996,13650.60463,,
Armenia,19513474648,8.64091109,7.98570197,..,3.457598477,50.0136477,50.99284468,435.6661797,5.114698655,12.6,7018.051504,,
Aruba,3544707788,..,3.412842252,..,2.598475865,83.12460512,77.33465145,1.79,7.000585026,10.45831735,33300.83882,,
Australia,1.69E+12,6.594096713,7.123075723,3.701,..,25.42712413,19.70962031,1.441664459,4.139795105,4.268946393,65099.84591,,
Austria,4.71E+11,8.546869932,5.297283734,4.992,..,62.08317498,61.60226372,..,2.147698685,4.806430202,52084.6812,,
Azerbaijan,78721058824,13.85225901,37.24885911,5.65,-16.50947539,60.05269537,27.02505795,1.7,-5.683969534,4.616522963,7762.073829,,
"Bahamas, The",12897400000,5.605406336,-2.173177483,..,6.565865391,37.52926947,42.66751438,1,4.116441689,14.36820985,31458.30081,,
Bahrain,44383297872,3.625741043,7.730538661,..,..,..,..,0.376,4.396540773,4.860858272,30146.92503,,
Bangladesh,4.60E+11,7.696954372,5.049021879,5.247,1.972480573,12.88222643,20.89774084,91.74545444,0.355255005,7.099828776,2688.305501,,
Barbados,5699950000,..,3.993355285,..,3.900869151,35.12837832,43.21967737,2,3.508802709,11.33373987,20238.78424,,
